sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","savedsearch_name","search_et","api_lt","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_savedsearch_name","__mv_search_et","__mv_api_lt","__mv_search_lt"
"1442801726.45","search host=""search-head1""","search-head1","1442801726.986977",0,19,1442801727,19,19,completed,"0.151000","1442793600.000000000",,"1442793600.000000000","1442801726.000000000","1442801726.000000000",,,,,,,,,,,,,,,,
"1442801736.47","|history | head 2000 | search event_count>0 OR result_count>0 | dedup search | table search","search-head1","1442801736.034878",0,0,1442801736,14,0,canceled,"0.023000",,,,,,,,,,,,,,,,,,,,,
"1442801782.50","search host=""search-head1"" | top","search-head1","1442801782.802127",0,0,1442801782,0,0,failed,"0.067000","1442793600.000000000",,"1442793600.000000000","1442801782.000000000","1442801782.000000000",,,,,,,,,,,,,,,,
"1442801786.52","search host=""search-head1""","search-head1","1442801786.336508",0,19,1442801786,19,19,completed,"0.126000","1442793600.000000000",,"1442793600.000000000","1442801786.000000000","1442801786.000000000",,,,,,,,,,,,,,,,
"1442801797.54","|history | head 2000 | search event_count>0 OR result_count>0 | dedup search | table search","search-head1","1442801797.312853",0,0,1442801797,14,0,canceled,"0.007000",,,,,,,,,,,,,,,,,,,,,
"1442801799.56","search host=""search-head1""","search-head1","1442801799.751916",0,19,1442801799,19,19,completed,"0.116000","1442793600.000000000",,"1442793600.000000000","1442801799.000000000","1442801799.000000000",,,,,,,,,,,,,,,,
"1442801801.57","| loadjob 1442801799.56 events=true require_finished=false | cluster t=0.8 labelonly=true labelfield=_patterns match=termset | findkeywords labelfield=_patterns dedup=true","search-head1","1442801801.419338",0,19,1442801801,14,0,completed,"0.054000","1442793600.000000000",,"1442793600.000000000","1442801801.000000000","1442801801.000000000",,,,,,,,,,,,,,,,
"rt_1442801849.58","| metadata type=sourcetypes | search totalCount > 0","search-head1","1442801849.668875",1,0,1442801849,0,0,canceled,"5.025000",,,,,,,,,,,,,,,,,,,,,
"rt_1442801851.60","| metadata type=hosts | search totalCount > 0 | table host totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")","search-head1","1442801851.620830",1,0,1442801851,0,0,canceled,"3.065000",,,,,,,,,,,,,,,,,,,,,
"rt_1442801851.61","| metadata type=sourcetypes | search totalCount > 0 | table sourcetype totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")","search-head1","1442801851.625363",1,0,1442801851,0,0,canceled,"3.065000",,,,,,,,,,,,,,,,,,,,,
"1442801854.62","search host=""search-head1""","search-head1","1442801854.228047",0,19,1442801854,19,19,completed,"0.135000",,,,,,,,,,,,,,,,,,,,,
"rt_1442801861.63","search host=""search-head1""","search-head1","1442801861.096397",1,2,1442801861,0,4,canceled,"168.150000",,,,,,,,,,,,,,,,,,,,,
"rt_1442801999.64","search host=""search-head1""","search-head1","1442801999.566975",1,4,1442801999,0,4,canceled,"207.141000",,,,,,,,,,,,,,,,,,,,,
"1442802003.65","|history | head 2000 | search event_count>0 OR result_count>0 | dedup search | table search","search-head1","1442802003.160044",0,0,1442802003,16,0,canceled,"0.016000",,,,,,,,,,,,,,,,,,,,,
"rt_1442802175.66","search host=""search-head1""","search-head1","1442802175.945494",1,6,1442802176,0,6,canceled,"220.141000",,,,,,,,,,,,,,,,,,,,,
"rt_1443043130.335","| metadata type=sourcetypes | search totalCount > 0","search-head1","1443043130.370449",1,0,1443043130,0,0,canceled,"2449.466000",,,,,,,,,,,,,,,,,,,,,
